unserved_medicaid/km2,unserved_commercial/km2,Cholesterol screening among adults aged >=18 years,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Visits to dentist or dental clinic among adults aged >=18 years,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Physical health not good for >=14 days among adults aged >=18 years
0.0,7.0,85.7,76.3,61.1,78.1,13.9
1366.4,0.0,84.2,71.3,59.4,75.0,12.4
8308.9,0.0,83.8,71.4,58.3,75.6,12.9
6364.2,0.0,83.1,70.6,55.4,75.9,13.3
8717.2,0.0,84.1,72.3,57.1,75.7,13.2
7192.4,0.0,82.7,70.8,54.7,74.9,13.8
3913.1,0.0,83.4,74.7,52.5,77.3,15.1
45.5,0.0,87.0,74.0,70.6,76.7,9.4
1442.1,0.0,89.5,72.9,77.2,77.0,7.8
0.0,393.5,,,,,
0.0,547.8,70.3,58.5,65.4,71.3,8.0
0.0,313.6,87.3,78.2,67.2,76.9,11.2
13.3,21.7,88.9,76.6,72.2,76.6,10.0
0.0,356.9,90.4,73.4,77.2,74.1,7.8
0.0,218.7,91.3,76.3,77.9,75.6,8.1
0.0,14.7,89.4,80.3,68.7,78.2,12.0
0.0,32.8,,,,,
0.0,34.9,,,,,
0.0,5483.6,,,,,
0.0,1582.7,,,,,
0.0,36.4,90.9,76.8,76.6,75.9,8.6
0.0,94.0,91.6,75.5,79.2,75.6,7.7
0.0,2943.7,,,,,
0.0,319.7,86.4,78.2,63.2,78.5,12.4
4659.0,0.0,84.4,70.1,55.3,76.0,11.2
9076.1,0.0,82.0,69.6,49.6,73.8,10.3
8202.9,0.0,84.8,73.0,53.5,75.8,10.6
1574.0,0.0,83.7,72.1,49.8,75.9,11.9
2890.3,0.0,83.2,70.8,51.5,74.9,11.6
1637.1,0.0,88.4,76.9,57.3,82.7,11.2
1334.1,3929.6,88.7,77.8,57.9,83.3,11.2
1139.9,0.0,92.3,80.2,67.1,85.5,9.3
11552.4,0.0,83.1,71.5,49.6,74.6,12.4
88.8,0.0,87.3,71.5,62.0,76.4,9.4
5282.5,0.0,85.9,72.1,54.8,77.6,11.6
4297.4,6191.3,87.8,73.6,61.4,79.8,9.6
2531.8,0.0,87.4,76.2,54.1,82.1,12.1
1074.3,0.0,91.8,80.0,64.6,85.2,9.8
3863.8,0.0,88.0,74.5,62.5,77.7,9.8
2276.5,0.0,83.6,71.2,51.9,75.2,10.6
3096.0,0.0,85.3,69.0,57.9,74.3,9.8
37.7,164.1,85.4,77.8,67.5,81.8,12.9
0.0,10.7,72.0,34.6,75.3,68.2,4.6
6.5,227.6,89.7,79.3,71.4,79.5,10.5
0.0,112.4,89.3,74.2,72.6,77.9,8.9
0.0,130.0,89.5,77.7,77.4,82.8,9.3
1546.9,0.0,85.3,78.6,47.7,77.5,11.7
5500.9,0.0,85.7,71.4,57.4,75.0,8.5
6691.0,0.0,84.1,70.6,55.1,75.8,10.3
3567.3,0.0,87.2,76.5,63.1,78.0,10.1
3218.7,4480.3,86.9,78.5,50.4,82.7,13.7
1904.4,0.0,86.4,72.2,58.9,76.3,10.7
3138.4,7805.0,88.9,76.2,58.8,83.1,10.7
0.0,333.4,89.2,72.5,79.1,81.2,8.3
3.5,21.4,86.6,78.5,63.5,77.9,13.2
0.0,98.8,88.8,76.5,71.9,78.1,9.9
0.0,3.5,92.3,78.2,78.7,77.1,8.0
0.0,101.1,90.1,77.8,74.4,75.9,8.9
0.0,428.7,89.2,76.5,73.3,74.9,9.2
0.0,54.9,91.3,78.3,77.2,76.6,8.5
4054.1,0.0,86.0,71.0,56.4,76.6,11.1
5692.8,0.0,85.8,71.3,57.1,76.3,10.5
